Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Constanta, Year 2023, Number of persons, 11393
Total, Total, Total, Constanta, Year 2024, Number of persons, 10073
Total, Total, Total, Galati, Year 2013, Number of persons, 4067
Total, Total, Total, Galati, Year 2014, Number of persons, 3601
Total, Total, Total, Galati, Year 2015, Number of persons, 3515
Total, Total, Total, Galati, Year 2016, Number of persons, 3638
Total, Total, Total, Galati, Year 2017, Number of persons, 4696
Total, Total, Total, Galati, Year 2018, Number of persons, 4567
Total, Total, Total, Galati, Year 2019, Number of persons, 5357
Total, Total, Total, Galati, Year 2020, Number of persons, 3851
Total, Total, Total, Galati, Year 2021, Number of persons, 5151
Total, Total, Total, Galati, Year 2022, Number of persons, 7755
Total, Total, Total, Galati, Year 2023, Number of persons, 8592
Total, Total, Total, Galati, Year 2024, Number of persons, 7596
Total, Total, Total, Tulcea, Year 2013, Number of persons, 1732
Total, Total, Total, Tulcea, Year 2014, Number of persons, 1533
Total, Total, Total, Tulcea, Year 2015, Number of persons, 1496
Total, Total, Total, Tulcea, Year 2016, Number of persons, 1548
Total, Total, Total, Tulcea, Year 2017, Number of persons, 1998
Total, Total, Total, Tulcea, Year 2018, Number of persons, 1943
Total, Total, Total, Tulcea, Year 2019, Number of persons, 2279
Total, Total, Total, Tulcea, Year 2020, Number of persons, 1638
Total, Total, Total, Tulcea, Year 2021, Number of persons, 2191
Total, Total, Total, Tulcea, Year 2022, Number of persons, 3298
Total, Total, Total, Tulcea, Year 2023, Number of persons, 3559
Total, Total, Total, Tulcea, Year 2024, Number of persons, 3147
Total, Total, Total, Vrancea, Year 2013, Number of persons, 2548
Total, Total, Total, Vrancea, Year 2014, Number of persons, 2256
Total, Total, Total, Vrancea, Year 2015, Number of persons, 2202
Total, Total, Total, Vrancea, Year 2016, Number of persons, 2279
Total, Total, Total, Vrancea, Year 2017, Number of persons, 2942
Total, Total, Total, Vrancea, Year 2018, Number of persons, 2861
Total, Total, Total, Vrancea, Year 2019, Number of persons, 3356
Total, Total, Total, Vrancea, Year 2020, Number of persons, 2412
Total, Total, Total, Vrancea, Year 2021, Number of persons, 3226
Total, Total, Total, Vrancea, Year 2022, Number of persons, 4857
Total, Total, Total, Vrancea, Year 2023, Number of persons, 5694
Total, Total, Total, Vrancea, Year 2024, Number of persons, 5034
Total, Total, Total, Arges, Year 2013, Number of persons, 4534
Total, Total, Total, Arges, Year 2014, Number of persons, 4014
Total, Total, Total, Arges, Year 2015, Number of persons, 3918
Total, Total, Total, Arges, Year 2016, Number of persons, 4055
Total, Total, Total, Arges, Year 2017, Number of persons, 5234
Total, Total, Total, Arges, Year 2018, Number of persons, 5091
Total, Total, Total, Arges, Year 2019, Number of persons, 5971
Total, Total, Total, Arges, Year 2020, Number of persons, 4292
Total, Total, Total, Arges, Year 2021, Number of persons, 5741
Total, Total, Total, Arges, Year 2022, Number of persons, 8643
Total, Total, Total, Arges, Year 2023, Number of persons, 9633
Total, Total, Total, Arges, Year 2024, Number of persons, 8517
Total, Total, Total, Calarasi, Year 2013, Number of persons, 2300
Total, Total, Total, Calarasi, Year 2014, Number of persons, 2036
Total, Total, Total, Calarasi, Year 2015, Number of persons, 1988
Total, Total, Total, Calarasi, Year 2016, Number of persons, 2058
Total, Total, Total, Calarasi, Year 2017, Number of persons, 2657
Total, Total, Total, Calarasi, Year 2018, Number of persons, 2584
Total, Total, Total, Calarasi, Year 2019, Number of persons, 3031
Total, Total, Total, Calarasi, Year 2020, Number of persons, 2179
Total, Total, Total, Calarasi, Year 2021, Number of persons, 2915
Total, Total, Total, Calarasi, Year 2022, Number of persons, 4388
Total, Total, Total, Calarasi, Year 2023, Number of persons, 5157
Total, Total, Total, Calarasi, Year 2024, Number of persons, 4559
Total, Total, Total, Dambovita, Year 2013, Number of persons, 3776
Total, Total, Total, Dambovita, Year 2014, Number of persons, 3343
Total, Total, Total, Dambovita, Year 2015, Number of persons, 3263
Total, Total, Total, Dambovita, Year 2016, Number of persons, 3378
Total, Total, Total, Dambovita, Year 2017, Number of persons, 4361
Total, Total, Total, Dambovita, Year 2018, Number of persons, 4242
Total, Total, Total, Dambovita, Year 2019, Number of persons, 4976
Total, Total, Total, Dambovita, Year 2020, Number of persons, 3577
Total, Total, Total, Dambovita, Year 2021, Number of persons, 4784
Total, Total, Total, Dambovita, Year 2022, Number of persons, 7202
Total, Total, Total, Dambovita, Year 2023, Number of persons, 8457
Total, Total, Total, Dambovita, Year 2024, Number of persons, 7477
Total, Total, Total, Giurgiu, Year 2013, Number of persons, 2032
Total, Total, Total, Giurgiu, Year 2014, Number of persons, 1799
Total, Total, Total, Giurgiu, Year 2015, Number of persons, 1756
Total, Total, Total, Giurgiu, Year 2016, Number of persons, 1818
Total, Total, Total, Giurgiu, Year 2017, Number of persons, 2347
Total, Total, Total, Giurgiu, Year 2018, Number of persons, 2283
Total, Total, Total, Giurgiu, Year 2019, Number of persons, 2678
Total, Total, Total, Giurgiu, Year 2020, Number of persons, 1925
Total, Total, Total, Giurgiu, Year 2021, Number of persons, 2575
Total, Total, Total, Giurgiu, Year 2022, Number of persons, 3877
Total, Total, Total, Giurgiu, Year 2023, Number of persons, 4742
Total, Total, Total, Giurgiu, Year 2024, Number of persons, 4193
Total, Total, Total, Ialomita, Year 2013, Number of persons, 2215
Total, Total, Total, Ialomita, Year 2014, Number of persons, 1961
Total, Total, Total, Ialomita, Year 2015, Number of persons, 1914
Total, Total, Total, Ialomita, Year 2016, Number of persons, 1981
Total, Total, Total, Ialomita, Year 2017, Number of persons, 2557
Total, Total, Total, Ialomita, Year 2018, Number of persons, 2487
Total, Total, Total, Ialomita, Year 2019, Number of persons, 2917
Total, Total, Total, Ialomita, Year 2020, Number of persons, 2097
Total, Total, Total, Ialomita, Year 2021, Number of persons, 2805
Total, Total, Total, Ialomita, Year 2022, Number of persons, 4223
Total, Total, Total, Ialomita, Year 2023, Number of persons, 4687
Total, Total, Total, Ialomita, Year 2024, Number of persons, 4144
Total, Total, Total, Prahova, Year 2013, Number of persons, 5818
Total, Total, Total, Prahova, Year 2014, Number of persons, 5151
Total, Total, Total, Prahova, Year 2015, Number of persons, 5028
Total, Total, Total, Prahova, Year 2016, Number of persons, 5204
