Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Mures, Year 2018, Number of persons, 29260
0- 4 years, Total, Total, Mures, Year 2019, Number of persons, 29492
0- 4 years, Total, Total, Mures, Year 2020, Number of persons, 29203
0- 4 years, Total, Total, Mures, Year 2021, Number of persons, 29461
0- 4 years, Total, Total, Mures, Year 2022, Number of persons, 28261
0- 4 years, Total, Total, Mures, Year 2023, Number of persons, 27870
0- 4 years, Total, Total, Mures, Year 2024, Number of persons, 26901
0- 4 years, Total, Total, Sibiu, Year 2013, Number of persons, 22066
0- 4 years, Total, Total, Sibiu, Year 2014, Number of persons, 21619
0- 4 years, Total, Total, Sibiu, Year 2015, Number of persons, 21425
0- 4 years, Total, Total, Sibiu, Year 2016, Number of persons, 21524
0- 4 years, Total, Total, Sibiu, Year 2017, Number of persons, 22026
0- 4 years, Total, Total, Sibiu, Year 2018, Number of persons, 22704
0- 4 years, Total, Total, Sibiu, Year 2019, Number of persons, 23186
0- 4 years, Total, Total, Sibiu, Year 2020, Number of persons, 23212
0- 4 years, Total, Total, Sibiu, Year 2021, Number of persons, 22928
0- 4 years, Total, Total, Sibiu, Year 2022, Number of persons, 22081
0- 4 years, Total, Total, Sibiu, Year 2023, Number of persons, 21461
0- 4 years, Total, Total, Sibiu, Year 2024, Number of persons, 20570
0- 4 years, Total, Total, Bacau, Year 2013, Number of persons, 32195
0- 4 years, Total, Total, Bacau, Year 2014, Number of persons, 31371
0- 4 years, Total, Total, Bacau, Year 2015, Number of persons, 31799
0- 4 years, Total, Total, Bacau, Year 2016, Number of persons, 32167
0- 4 years, Total, Total, Bacau, Year 2017, Number of persons, 32906
0- 4 years, Total, Total, Bacau, Year 2018, Number of persons, 34007
0- 4 years, Total, Total, Bacau, Year 2019, Number of persons, 34323
0- 4 years, Total, Total, Bacau, Year 2020, Number of persons, 34367
0- 4 years, Total, Total, Bacau, Year 2021, Number of persons, 34132
0- 4 years, Total, Total, Bacau, Year 2022, Number of persons, 31030
0- 4 years, Total, Total, Bacau, Year 2023, Number of persons, 30848
0- 4 years, Total, Total, Bacau, Year 2024, Number of persons, 29442
0- 4 years, Total, Total, Botosani, Year 2013, Number of persons, 21521
0- 4 years, Total, Total, Botosani, Year 2014, Number of persons, 20317
0- 4 years, Total, Total, Botosani, Year 2015, Number of persons, 19706
0- 4 years, Total, Total, Botosani, Year 2016, Number of persons, 19448
0- 4 years, Total, Total, Botosani, Year 2017, Number of persons, 19521
0- 4 years, Total, Total, Botosani, Year 2018, Number of persons, 19622
0- 4 years, Total, Total, Botosani, Year 2019, Number of persons, 19729
0- 4 years, Total, Total, Botosani, Year 2020, Number of persons, 19887
0- 4 years, Total, Total, Botosani, Year 2021, Number of persons, 20053
0- 4 years, Total, Total, Botosani, Year 2022, Number of persons, 19179
0- 4 years, Total, Total, Botosani, Year 2023, Number of persons, 19392
0- 4 years, Total, Total, Botosani, Year 2024, Number of persons, 18847
0- 4 years, Total, Total, Iasi, Year 2013, Number of persons, 44426
0- 4 years, Total, Total, Iasi, Year 2014, Number of persons, 43583
0- 4 years, Total, Total, Iasi, Year 2015, Number of persons, 44349
0- 4 years, Total, Total, Iasi, Year 2016, Number of persons, 45257
0- 4 years, Total, Total, Iasi, Year 2017, Number of persons, 47432
0- 4 years, Total, Total, Iasi, Year 2018, Number of persons, 50282
0- 4 years, Total, Total, Iasi, Year 2019, Number of persons, 52479
0- 4 years, Total, Total, Iasi, Year 2020, Number of persons, 54394
0- 4 years, Total, Total, Iasi, Year 2021, Number of persons, 55861
0- 4 years, Total, Total, Iasi, Year 2022, Number of persons, 48831
0- 4 years, Total, Total, Iasi, Year 2023, Number of persons, 48565
0- 4 years, Total, Total, Iasi, Year 2024, Number of persons, 46317
0- 4 years, Total, Total, Neamt, Year 2013, Number of persons, 23008
0- 4 years, Total, Total, Neamt, Year 2014, Number of persons, 22493
0- 4 years, Total, Total, Neamt, Year 2015, Number of persons, 22615
0- 4 years, Total, Total, Neamt, Year 2016, Number of persons, 22685
0- 4 years, Total, Total, Neamt, Year 2017, Number of persons, 23507
0- 4 years, Total, Total, Neamt, Year 2018, Number of persons, 24106
0- 4 years, Total, Total, Neamt, Year 2019, Number of persons, 24128
0- 4 years, Total, Total, Neamt, Year 2020, Number of persons, 24051
0- 4 years, Total, Total, Neamt, Year 2021, Number of persons, 23950
0- 4 years, Total, Total, Neamt, Year 2022, Number of persons, 21690
0- 4 years, Total, Total, Neamt, Year 2023, Number of persons, 21268
0- 4 years, Total, Total, Neamt, Year 2024, Number of persons, 20166
0- 4 years, Total, Total, Suceava, Year 2013, Number of persons, 36350
0- 4 years, Total, Total, Suceava, Year 2014, Number of persons, 35664
0- 4 years, Total, Total, Suceava, Year 2015, Number of persons, 36144
0- 4 years, Total, Total, Suceava, Year 2016, Number of persons, 36600
0- 4 years, Total, Total, Suceava, Year 2017, Number of persons, 38035
0- 4 years, Total, Total, Suceava, Year 2018, Number of persons, 39886
0- 4 years, Total, Total, Suceava, Year 2019, Number of persons, 41456
0- 4 years, Total, Total, Suceava, Year 2020, Number of persons, 42400
0- 4 years, Total, Total, Suceava, Year 2021, Number of persons, 43193
0- 4 years, Total, Total, Suceava, Year 2022, Number of persons, 40646
0- 4 years, Total, Total, Suceava, Year 2023, Number of persons, 40544
0- 4 years, Total, Total, Suceava, Year 2024, Number of persons, 39574
0- 4 years, Total, Total, Vaslui, Year 2013, Number of persons, 21678
0- 4 years, Total, Total, Vaslui, Year 2014, Number of persons, 21128
0- 4 years, Total, Total, Vaslui, Year 2015, Number of persons, 21421
0- 4 years, Total, Total, Vaslui, Year 2016, Number of persons, 22351
0- 4 years, Total, Total, Vaslui, Year 2017, Number of persons, 23061
0- 4 years, Total, Total, Vaslui, Year 2018, Number of persons, 23915
0- 4 years, Total, Total, Vaslui, Year 2019, Number of persons, 24022
0- 4 years, Total, Total, Vaslui, Year 2020, Number of persons, 25193
0- 4 years, Total, Total, Vaslui, Year 2021, Number of persons, 25684
0- 4 years, Total, Total, Vaslui, Year 2022, Number of persons, 20201
0- 4 years, Total, Total, Vaslui, Year 2023, Number of persons, 20053
0- 4 years, Total, Total, Vaslui, Year 2024, Number of persons, 19253
0- 4 years, Total, Total, Braila, Year 2013, Number of persons, 13389
0- 4 years, Total, Total, Braila, Year 2014, Number of persons, 12624
0- 4 years, Total, Total, Braila, Year 2015, Number of persons, 12073
0- 4 years, Total, Total, Braila, Year 2016, Number of persons, 11705
0- 4 years, Total, Total, Braila, Year 2017, Number of persons, 11966
0- 4 years, Total, Total, Braila, Year 2018, Number of persons, 12079
0- 4 years, Total, Total, Braila, Year 2019, Number of persons, 12287
0- 4 years, Total, Total, Braila, Year 2020, Number of persons, 12426
0- 4 years, Total, Total, Braila, Year 2021, Number of persons, 12376
0- 4 years, Total, Total, Braila, Year 2022, Number of persons, 11414
0- 4 years, Total, Total, Braila, Year 2023, Number of persons, 11273
0- 4 years, Total, Total, Braila, Year 2024, Number of persons, 10615
0- 4 years, Total, Total, Buzau, Year 2013, Number of persons, 21086
0- 4 years, Total, Total, Buzau, Year 2014, Number of persons, 19951
0- 4 years, Total, Total, Buzau, Year 2015, Number of persons, 19168
0- 4 years, Total, Total, Buzau, Year 2016, Number of persons, 18382
0- 4 years, Total, Total, Buzau, Year 2017, Number of persons, 18377
0- 4 years, Total, Total, Buzau, Year 2018, Number of persons, 18305
0- 4 years, Total, Total, Buzau, Year 2019, Number of persons, 18317
0- 4 years, Total, Total, Buzau, Year 2020, Number of persons, 18334
0- 4 years, Total, Total, Buzau, Year 2021, Number of persons, 18383
0- 4 years, Total, Total, Buzau, Year 2022, Number of persons, 17586
0- 4 years, Total, Total, Buzau, Year 2023, Number of persons, 17567
0- 4 years, Total, Total, Buzau, Year 2024, Number of persons, 16781
0- 4 years, Total, Total, Constanta, Year 2013, Number of persons, 37439
0- 4 years, Total, Total, Constanta, Year 2014, Number of persons, 36276
0- 4 years, Total, Total, Constanta, Year 2015, Number of persons, 35799
0- 4 years, Total, Total, Constanta, Year 2016, Number of persons, 35338
0- 4 years, Total, Total, Constanta, Year 2017, Number of persons, 36108
0- 4 years, Total, Total, Constanta, Year 2018, Number of persons, 36488
0- 4 years, Total, Total, Constanta, Year 2019, Number of persons, 36831
0- 4 years, Total, Total, Constanta, Year 2020, Number of persons, 36499
0- 4 years, Total, Total, Constanta, Year 2021, Number of persons, 36216
0- 4 years, Total, Total, Constanta, Year 2022, Number of persons, 34029
0- 4 years, Total, Total, Constanta, Year 2023, Number of persons, 33139
0- 4 years, Total, Total, Constanta, Year 2024, Number of persons, 31552
0- 4 years, Total, Total, Galati, Year 2013, Number of persons, 25229
0- 4 years, Total, Total, Galati, Year 2014, Number of persons, 24352
0- 4 years, Total, Total, Galati, Year 2015, Number of persons, 23914
0- 4 years, Total, Total, Galati, Year 2016, Number of persons, 23792
0- 4 years, Total, Total, Galati, Year 2017, Number of persons, 24726
0- 4 years, Total, Total, Galati, Year 2018, Number of persons, 25943
0- 4 years, Total, Total, Galati, Year 2019, Number of persons, 26576
0- 4 years, Total, Total, Galati, Year 2020, Number of persons, 27292
0- 4 years, Total, Total, Galati, Year 2021, Number of persons, 27869
0- 4 years, Total, Total, Galati, Year 2022, Number of persons, 23786
0- 4 years, Total, Total, Galati, Year 2023, Number of persons, 24204
0- 4 years, Total, Total, Galati, Year 2024, Number of persons, 23305
0- 4 years, Total, Total, Tulcea, Year 2013, Number of persons, 10227
0- 4 years, Total, Total, Tulcea, Year 2014, Number of persons, 9741
0- 4 years, Total, Total, Tulcea, Year 2015, Number of persons, 9612
0- 4 years, Total, Total, Tulcea, Year 2016, Number of persons, 9400
0- 4 years, Total, Total, Tulcea, Year 2017, Number of persons, 9321
0- 4 years, Total, Total, Tulcea, Year 2018, Number of persons, 9376
0- 4 years, Total, Total, Tulcea, Year 2019, Number of persons, 9185
0- 4 years, Total, Total, Tulcea, Year 2020, Number of persons, 8835
0- 4 years, Total, Total, Tulcea, Year 2021, Number of persons, 8654
0- 4 years, Total, Total, Tulcea, Year 2022, Number of persons, 8521
0- 4 years, Total, Total, Tulcea, Year 2023, Number of persons, 8237
0- 4 years, Total, Total, Tulcea, Year 2024, Number of persons, 7703
0- 4 years, Total, Total, Vrancea, Year 2013, Number of persons, 17459
0- 4 years, Total, Total, Vrancea, Year 2014, Number of persons, 16851
0- 4 years, Total, Total, Vrancea, Year 2015, Number of persons, 16785
0- 4 years, Total, Total, Vrancea, Year 2016, Number of persons, 16625
0- 4 years, Total, Total, Vrancea, Year 2017, Number of persons, 16935
0- 4 years, Total, Total, Vrancea, Year 2018, Number of persons, 17191
0- 4 years, Total, Total, Vrancea, Year 2019, Number of persons, 17122
0- 4 years, Total, Total, Vrancea, Year 2020, Number of persons, 16938
0- 4 years, Total, Total, Vrancea, Year 2021, Number of persons, 16738
0- 4 years, Total, Total, Vrancea, Year 2022, Number of persons, 16497
0- 4 years, Total, Total, Vrancea, Year 2023, Number of persons, 16173
0- 4 years, Total, Total, Vrancea, Year 2024, Number of persons, 15251
0- 4 years, Total, Total, Arges, Year 2013, Number of persons, 27908
0- 4 years, Total, Total, Arges, Year 2014, Number of persons, 27089
0- 4 years, Total, Total, Arges, Year 2015, Number of persons, 26434
0- 4 years, Total, Total, Arges, Year 2016, Number of persons, 25950
0- 4 years, Total, Total, Arges, Year 2017, Number of persons, 26073
0- 4 years, Total, Total, Arges, Year 2018, Number of persons, 26368
0- 4 years, Total, Total, Arges, Year 2019, Number of persons, 26760
0- 4 years, Total, Total, Arges, Year 2020, Number of persons, 27044
0- 4 years, Total, Total, Arges, Year 2021, Number of persons, 27017
0- 4 years, Total, Total, Arges, Year 2022, Number of persons, 25969
0- 4 years, Total, Total, Arges, Year 2023, Number of persons, 25235
0- 4 years, Total, Total, Arges, Year 2024, Number of persons, 23637
0- 4 years, Total, Total, Calarasi, Year 2013, Number of persons, 15868
0- 4 years, Total, Total, Calarasi, Year 2014, Number of persons, 14916
