Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
50-54 years, Total, Total, Gorj, Year 2023, Number of persons, 30621
50-54 years, Total, Total, Gorj, Year 2024, Number of persons, 28178
50-54 years, Total, Total, Mehedinti, Year 2013, Number of persons, 17736
50-54 years, Total, Total, Mehedinti, Year 2014, Number of persons, 16782
50-54 years, Total, Total, Mehedinti, Year 2015, Number of persons, 15882
50-54 years, Total, Total, Mehedinti, Year 2016, Number of persons, 15044
50-54 years, Total, Total, Mehedinti, Year 2017, Number of persons, 14291
50-54 years, Total, Total, Mehedinti, Year 2018, Number of persons, 16285
50-54 years, Total, Total, Mehedinti, Year 2019, Number of persons, 18456
50-54 years, Total, Total, Mehedinti, Year 2020, Number of persons, 20328
50-54 years, Total, Total, Mehedinti, Year 2021, Number of persons, 21529
50-54 years, Total, Total, Mehedinti, Year 2022, Number of persons, 22530
50-54 years, Total, Total, Mehedinti, Year 2023, Number of persons, 21339
50-54 years, Total, Total, Mehedinti, Year 2024, Number of persons, 19494
50-54 years, Total, Total, Olt, Year 2013, Number of persons, 27683
50-54 years, Total, Total, Olt, Year 2014, Number of persons, 26110
50-54 years, Total, Total, Olt, Year 2015, Number of persons, 24825
50-54 years, Total, Total, Olt, Year 2016, Number of persons, 23943
50-54 years, Total, Total, Olt, Year 2017, Number of persons, 23340
50-54 years, Total, Total, Olt, Year 2018, Number of persons, 26976
50-54 years, Total, Total, Olt, Year 2019, Number of persons, 30629
50-54 years, Total, Total, Olt, Year 2020, Number of persons, 33084
50-54 years, Total, Total, Olt, Year 2021, Number of persons, 34926
50-54 years, Total, Total, Olt, Year 2022, Number of persons, 36877
50-54 years, Total, Total, Olt, Year 2023, Number of persons, 34914
50-54 years, Total, Total, Olt, Year 2024, Number of persons, 32284
50-54 years, Total, Total, Valcea, Year 2013, Number of persons, 24112
50-54 years, Total, Total, Valcea, Year 2014, Number of persons, 23007
50-54 years, Total, Total, Valcea, Year 2015, Number of persons, 22064
50-54 years, Total, Total, Valcea, Year 2016, Number of persons, 20979
50-54 years, Total, Total, Valcea, Year 2017, Number of persons, 20179
50-54 years, Total, Total, Valcea, Year 2018, Number of persons, 23482
50-54 years, Total, Total, Valcea, Year 2019, Number of persons, 26577
50-54 years, Total, Total, Valcea, Year 2020, Number of persons, 28915
50-54 years, Total, Total, Valcea, Year 2021, Number of persons, 30777
50-54 years, Total, Total, Valcea, Year 2022, Number of persons, 33349
50-54 years, Total, Total, Valcea, Year 2023, Number of persons, 31500
50-54 years, Total, Total, Valcea, Year 2024, Number of persons, 29339
50-54 years, Total, Total, Arad, Year 2013, Number of persons, 26375
50-54 years, Total, Total, Arad, Year 2014, Number of persons, 24649
50-54 years, Total, Total, Arad, Year 2015, Number of persons, 23631
50-54 years, Total, Total, Arad, Year 2016, Number of persons, 22986
50-54 years, Total, Total, Arad, Year 2017, Number of persons, 22572
50-54 years, Total, Total, Arad, Year 2018, Number of persons, 25744
50-54 years, Total, Total, Arad, Year 2019, Number of persons, 29372
50-54 years, Total, Total, Arad, Year 2020, Number of persons, 32434
50-54 years, Total, Total, Arad, Year 2021, Number of persons, 34751
50-54 years, Total, Total, Arad, Year 2022, Number of persons, 36600
50-54 years, Total, Total, Arad, Year 2023, Number of persons, 35272
50-54 years, Total, Total, Arad, Year 2024, Number of persons, 32932
50-54 years, Total, Total, Caras-Severin, Year 2013, Number of persons, 20337
50-54 years, Total, Total, Caras-Severin, Year 2014, Number of persons, 19279
50-54 years, Total, Total, Caras-Severin, Year 2015, Number of persons, 18268
50-54 years, Total, Total, Caras-Severin, Year 2016, Number of persons, 17388
50-54 years, Total, Total, Caras-Severin, Year 2017, Number of persons, 16600
50-54 years, Total, Total, Caras-Severin, Year 2018, Number of persons, 18303
50-54 years, Total, Total, Caras-Severin, Year 2019, Number of persons, 20229
50-54 years, Total, Total, Caras-Severin, Year 2020, Number of persons, 21360
50-54 years, Total, Total, Caras-Severin, Year 2021, Number of persons, 22338
50-54 years, Total, Total, Caras-Severin, Year 2022, Number of persons, 21735
50-54 years, Total, Total, Caras-Severin, Year 2023, Number of persons, 20298
50-54 years, Total, Total, Caras-Severin, Year 2024, Number of persons, 18886
50-54 years, Total, Total, Hunedoara, Year 2013, Number of persons, 28654
50-54 years, Total, Total, Hunedoara, Year 2014, Number of persons, 27370
50-54 years, Total, Total, Hunedoara, Year 2015, Number of persons, 26272
50-54 years, Total, Total, Hunedoara, Year 2016, Number of persons, 25176
50-54 years, Total, Total, Hunedoara, Year 2017, Number of persons, 24274
50-54 years, Total, Total, Hunedoara, Year 2018, Number of persons, 28306
50-54 years, Total, Total, Hunedoara, Year 2019, Number of persons, 31891
50-54 years, Total, Total, Hunedoara, Year 2020, Number of persons, 34558
50-54 years, Total, Total, Hunedoara, Year 2021, Number of persons, 36574
50-54 years, Total, Total, Hunedoara, Year 2022, Number of persons, 37985
50-54 years, Total, Total, Hunedoara, Year 2023, Number of persons, 35438
50-54 years, Total, Total, Hunedoara, Year 2024, Number of persons, 32307
50-54 years, Total, Total, Timis, Year 2013, Number of persons, 42009
50-54 years, Total, Total, Timis, Year 2014, Number of persons, 39590
50-54 years, Total, Total, Timis, Year 2015, Number of persons, 37852
50-54 years, Total, Total, Timis, Year 2016, Number of persons, 36561
50-54 years, Total, Total, Timis, Year 2017, Number of persons, 35543
50-54 years, Total, Total, Timis, Year 2018, Number of persons, 40927
50-54 years, Total, Total, Timis, Year 2019, Number of persons, 46197
50-54 years, Total, Total, Timis, Year 2020, Number of persons, 50500
50-54 years, Total, Total, Timis, Year 2021, Number of persons, 53828
50-54 years, Total, Total, Timis, Year 2022, Number of persons, 53779
50-54 years, Total, Total, Timis, Year 2023, Number of persons, 51307
50-54 years, Total, Total, Timis, Year 2024, Number of persons, 47996
55-59 years, Total, Total, Bihor, Year 2013, Number of persons, 41293
55-59 years, Total, Total, Bihor, Year 2014, Number of persons, 41532
55-59 years, Total, Total, Bihor, Year 2015, Number of persons, 40508
55-59 years, Total, Total, Bihor, Year 2016, Number of persons, 38443
55-59 years, Total, Total, Bihor, Year 2017, Number of persons, 36316
55-59 years, Total, Total, Bihor, Year 2018, Number of persons, 34059
55-59 years, Total, Total, Bihor, Year 2019, Number of persons, 31925
55-59 years, Total, Total, Bihor, Year 2020, Number of persons, 30455
55-59 years, Total, Total, Bihor, Year 2021, Number of persons, 29541
55-59 years, Total, Total, Bihor, Year 2022, Number of persons, 29229
55-59 years, Total, Total, Bihor, Year 2023, Number of persons, 32128
55-59 years, Total, Total, Bihor, Year 2024, Number of persons, 36159
55-59 years, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 19594
55-59 years, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 19705
55-59 years, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 19479
55-59 years, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 18842
55-59 years, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 18234
55-59 years, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 17542
55-59 years, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 17194
55-59 years, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 16783
55-59 years, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 16333
55-59 years, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 17269
55-59 years, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 18401
55-59 years, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 19620
55-59 years, Total, Total, Cluj, Year 2013, Number of persons, 48522
55-59 years, Total, Total, Cluj, Year 2014, Number of persons, 48365
55-59 years, Total, Total, Cluj, Year 2015, Number of persons, 47007
55-59 years, Total, Total, Cluj, Year 2016, Number of persons, 44697
55-59 years, Total, Total, Cluj, Year 2017, Number of persons, 42547
55-59 years, Total, Total, Cluj, Year 2018, Number of persons, 40152
55-59 years, Total, Total, Cluj, Year 2019, Number of persons, 38452
55-59 years, Total, Total, Cluj, Year 2020, Number of persons, 37030
55-59 years, Total, Total, Cluj, Year 2021, Number of persons, 35849
55-59 years, Total, Total, Cluj, Year 2022, Number of persons, 35342
55-59 years, Total, Total, Cluj, Year 2023, Number of persons, 38852
55-59 years, Total, Total, Cluj, Year 2024, Number of persons, 42905
55-59 years, Total, Total, Maramures, Year 2013, Number of persons, 32832
55-59 years, Total, Total, Maramures, Year 2014, Number of persons, 32800
55-59 years, Total, Total, Maramures, Year 2015, Number of persons, 32313
55-59 years, Total, Total, Maramures, Year 2016, Number of persons, 31325
55-59 years, Total, Total, Maramures, Year 2017, Number of persons, 30442
55-59 years, Total, Total, Maramures, Year 2018, Number of persons, 29323
55-59 years, Total, Total, Maramures, Year 2019, Number of persons, 28434
55-59 years, Total, Total, Maramures, Year 2020, Number of persons, 27730
55-59 years, Total, Total, Maramures, Year 2021, Number of persons, 26955
55-59 years, Total, Total, Maramures, Year 2022, Number of persons, 27059
55-59 years, Total, Total, Maramures, Year 2023, Number of persons, 28856
55-59 years, Total, Total, Maramures, Year 2024, Number of persons, 31018
55-59 years, Total, Total, Satu Mare, Year 2013, Number of persons, 23889
55-59 years, Total, Total, Satu Mare, Year 2014, Number of persons, 23735
55-59 years, Total, Total, Satu Mare, Year 2015, Number of persons, 23370
55-59 years, Total, Total, Satu Mare, Year 2016, Number of persons, 22519
55-59 years, Total, Total, Satu Mare, Year 2017, Number of persons, 21623
55-59 years, Total, Total, Satu Mare, Year 2018, Number of persons, 20514
55-59 years, Total, Total, Satu Mare, Year 2019, Number of persons, 19832
55-59 years, Total, Total, Satu Mare, Year 2020, Number of persons, 19273
55-59 years, Total, Total, Satu Mare, Year 2021, Number of persons, 18818
55-59 years, Total, Total, Satu Mare, Year 2022, Number of persons, 19509
55-59 years, Total, Total, Satu Mare, Year 2023, Number of persons, 20676
55-59 years, Total, Total, Satu Mare, Year 2024, Number of persons, 22329
55-59 years, Total, Total, Salaj, Year 2013, Number of persons, 14993
55-59 years, Total, Total, Salaj, Year 2014, Number of persons, 14866
55-59 years, Total, Total, Salaj, Year 2015, Number of persons, 14703
55-59 years, Total, Total, Salaj, Year 2016, Number of persons, 14268
55-59 years, Total, Total, Salaj, Year 2017, Number of persons, 13835
55-59 years, Total, Total, Salaj, Year 2018, Number of persons, 13343
55-59 years, Total, Total, Salaj, Year 2019, Number of persons, 12995
55-59 years, Total, Total, Salaj, Year 2020, Number of persons, 12621
55-59 years, Total, Total, Salaj, Year 2021, Number of persons, 12632
55-59 years, Total, Total, Salaj, Year 2022, Number of persons, 13036
55-59 years, Total, Total, Salaj, Year 2023, Number of persons, 13753
55-59 years, Total, Total, Salaj, Year 2024, Number of persons, 14963
55-59 years, Total, Total, Alba, Year 2013, Number of persons, 26563
55-59 years, Total, Total, Alba, Year 2014, Number of persons, 26165
55-59 years, Total, Total, Alba, Year 2015, Number of persons, 25317
55-59 years, Total, Total, Alba, Year 2016, Number of persons, 24207
55-59 years, Total, Total, Alba, Year 2017, Number of persons, 23142
55-59 years, Total, Total, Alba, Year 2018, Number of persons, 21954
55-59 years, Total, Total, Alba, Year 2019, Number of persons, 21252
55-59 years, Total, Total, Alba, Year 2020, Number of persons, 20482
55-59 years, Total, Total, Alba, Year 2021, Number of persons, 19636
55-59 years, Total, Total, Alba, Year 2022, Number of persons, 19914
55-59 years, Total, Total, Alba, Year 2023, Number of persons, 21311
55-59 years, Total, Total, Alba, Year 2024, Number of persons, 23096
55-59 years, Total, Total, Brasov, Year 2013, Number of persons, 46452
55-59 years, Total, Total, Brasov, Year 2014, Number of persons, 45645
55-59 years, Total, Total, Brasov, Year 2015, Number of persons, 43707
55-59 years, Total, Total, Brasov, Year 2016, Number of persons, 40856
55-59 years, Total, Total, Brasov, Year 2017, Number of persons, 37695
55-59 years, Total, Total, Brasov, Year 2018, Number of persons, 34819
55-59 years, Total, Total, Brasov, Year 2019, Number of persons, 32303
55-59 years, Total, Total, Brasov, Year 2020, Number of persons, 30259
55-59 years, Total, Total, Brasov, Year 2021, Number of persons, 28410
55-59 years, Total, Total, Brasov, Year 2022, Number of persons, 27979
55-59 years, Total, Total, Brasov, Year 2023, Number of persons, 30855
55-59 years, Total, Total, Brasov, Year 2024, Number of persons, 34484
55-59 years, Total, Total, Covasna, Year 2013, Number of persons, 14780
55-59 years, Total, Total, Covasna, Year 2014, Number of persons, 14578
55-59 years, Total, Total, Covasna, Year 2015, Number of persons, 14107
55-59 years, Total, Total, Covasna, Year 2016, Number of persons, 13210
55-59 years, Total, Total, Covasna, Year 2017, Number of persons, 12361
55-59 years, Total, Total, Covasna, Year 2018, Number of persons, 11721
55-59 years, Total, Total, Covasna, Year 2019, Number of persons, 11164
55-59 years, Total, Total, Covasna, Year 2020, Number of persons, 10547
55-59 years, Total, Total, Covasna, Year 2021, Number of persons, 10188
55-59 years, Total, Total, Covasna, Year 2022, Number of persons, 10109
55-59 years, Total, Total, Covasna, Year 2023, Number of persons, 11068
55-59 years, Total, Total, Covasna, Year 2024, Number of persons, 12391
55-59 years, Total, Total, Harghita, Year 2013, Number of persons, 21200
55-59 years, Total, Total, Harghita, Year 2014, Number of persons, 20990
55-59 years, Total, Total, Harghita, Year 2015, Number of persons, 20334
55-59 years, Total, Total, Harghita, Year 2016, Number of persons, 19076
55-59 years, Total, Total, Harghita, Year 2017, Number of persons, 18164
55-59 years, Total, Total, Harghita, Year 2018, Number of persons, 17352
55-59 years, Total, Total, Harghita, Year 2019, Number of persons, 16634
55-59 years, Total, Total, Harghita, Year 2020, Number of persons, 16143
55-59 years, Total, Total, Harghita, Year 2021, Number of persons, 15844
55-59 years, Total, Total, Harghita, Year 2022, Number of persons, 15520
55-59 years, Total, Total, Harghita, Year 2023, Number of persons, 16923
55-59 years, Total, Total, Harghita, Year 2024, Number of persons, 18550
55-59 years, Total, Total, Mures, Year 2013, Number of persons, 38621
55-59 years, Total, Total, Mures, Year 2014, Number of persons, 38302
55-59 years, Total, Total, Mures, Year 2015, Number of persons, 36958
55-59 years, Total, Total, Mures, Year 2016, Number of persons, 35230
55-59 years, Total, Total, Mures, Year 2017, Number of persons, 33133
55-59 years, Total, Total, Mures, Year 2018, Number of persons, 31131
55-59 years, Total, Total, Mures, Year 2019, Number of persons, 29681
55-59 years, Total, Total, Mures, Year 2020, Number of persons, 28557
55-59 years, Total, Total, Mures, Year 2021, Number of persons, 27646
55-59 years, Total, Total, Mures, Year 2022, Number of persons, 27722
55-59 years, Total, Total, Mures, Year 2023, Number of persons, 30522
55-59 years, Total, Total, Mures, Year 2024, Number of persons, 34334
55-59 years, Total, Total, Sibiu, Year 2013, Number of persons, 30206
55-59 years, Total, Total, Sibiu, Year 2014, Number of persons, 29705
55-59 years, Total, Total, Sibiu, Year 2015, Number of persons, 28647
55-59 years, Total, Total, Sibiu, Year 2016, Number of persons, 27111
55-59 years, Total, Total, Sibiu, Year 2017, Number of persons, 25485
55-59 years, Total, Total, Sibiu, Year 2018, Number of persons, 23933
55-59 years, Total, Total, Sibiu, Year 2019, Number of persons, 22805
55-59 years, Total, Total, Sibiu, Year 2020, Number of persons, 21848
55-59 years, Total, Total, Sibiu, Year 2021, Number of persons, 21124
55-59 years, Total, Total, Sibiu, Year 2022, Number of persons, 20717
55-59 years, Total, Total, Sibiu, Year 2023, Number of persons, 22600
55-59 years, Total, Total, Sibiu, Year 2024, Number of persons, 24824
55-59 years, Total, Total, Bacau, Year 2013, Number of persons, 44185
55-59 years, Total, Total, Bacau, Year 2014, Number of persons, 43811
55-59 years, Total, Total, Bacau, Year 2015, Number of persons, 42985
55-59 years, Total, Total, Bacau, Year 2016, Number of persons, 41142
55-59 years, Total, Total, Bacau, Year 2017, Number of persons, 38915
55-59 years, Total, Total, Bacau, Year 2018, Number of persons, 36541
55-59 years, Total, Total, Bacau, Year 2019, Number of persons, 34457
55-59 years, Total, Total, Bacau, Year 2020, Number of persons, 32517
55-59 years, Total, Total, Bacau, Year 2021, Number of persons, 30817
55-59 years, Total, Total, Bacau, Year 2022, Number of persons, 32702
55-59 years, Total, Total, Bacau, Year 2023, Number of persons, 36486
55-59 years, Total, Total, Bacau, Year 2024, Number of persons, 41148
55-59 years, Total, Total, Botosani, Year 2013, Number of persons, 25470
55-59 years, Total, Total, Botosani, Year 2014, Number of persons, 25621
55-59 years, Total, Total, Botosani, Year 2015, Number of persons, 24930
55-59 years, Total, Total, Botosani, Year 2016, Number of persons, 23994
55-59 years, Total, Total, Botosani, Year 2017, Number of persons, 23059
55-59 years, Total, Total, Botosani, Year 2018, Number of persons, 22030
55-59 years, Total, Total, Botosani, Year 2019, Number of persons, 21156
55-59 years, Total, Total, Botosani, Year 2020, Number of persons, 20182
55-59 years, Total, Total, Botosani, Year 2021, Number of persons, 19165
55-59 years, Total, Total, Botosani, Year 2022, Number of persons, 20005
55-59 years, Total, Total, Botosani, Year 2023, Number of persons, 21780
55-59 years, Total, Total, Botosani, Year 2024, Number of persons, 24683
55-59 years, Total, Total, Iasi, Year 2013, Number of persons, 49718
55-59 years, Total, Total, Iasi, Year 2014, Number of persons, 49382
55-59 years, Total, Total, Iasi, Year 2015, Number of persons, 48127
55-59 years, Total, Total, Iasi, Year 2016, Number of persons, 45573
55-59 years, Total, Total, Iasi, Year 2017, Number of persons, 42853
55-59 years, Total, Total, Iasi, Year 2018, Number of persons, 40241
55-59 years, Total, Total, Iasi, Year 2019, Number of persons, 37732
55-59 years, Total, Total, Iasi, Year 2020, Number of persons, 36021
55-59 years, Total, Total, Iasi, Year 2021, Number of persons, 34686
55-59 years, Total, Total, Iasi, Year 2022, Number of persons, 33668
55-59 years, Total, Total, Iasi, Year 2023, Number of persons, 38303
55-59 years, Total, Total, Iasi, Year 2024, Number of persons, 43979
55-59 years, Total, Total, Neamt, Year 2013, Number of persons, 33383
55-59 years, Total, Total, Neamt, Year 2014, Number of persons, 32992
55-59 years, Total, Total, Neamt, Year 2015, Number of persons, 32186
55-59 years, Total, Total, Neamt, Year 2016, Number of persons, 30588
55-59 years, Total, Total, Neamt, Year 2017, Number of persons, 29184
55-59 years, Total, Total, Neamt, Year 2018, Number of persons, 27649
55-59 years, Total, Total, Neamt, Year 2019, Number of persons, 25997
55-59 years, Total, Total, Neamt, Year 2020, Number of persons, 24582
55-59 years, Total, Total, Neamt, Year 2021, Number of persons, 23361
55-59 years, Total, Total, Neamt, Year 2022, Number of persons, 24931
55-59 years, Total, Total, Neamt, Year 2023, Number of persons, 27627
55-59 years, Total, Total, Neamt, Year 2024, Number of persons, 31324
55-59 years, Total, Total, Suceava, Year 2013, Number of persons, 40285
55-59 years, Total, Total, Suceava, Year 2014, Number of persons, 40253
55-59 years, Total, Total, Suceava, Year 2015, Number of persons, 39650
55-59 years, Total, Total, Suceava, Year 2016, Number of persons, 38223
55-59 years, Total, Total, Suceava, Year 2017, Number of persons, 37050
55-59 years, Total, Total, Suceava, Year 2018, Number of persons, 35525
55-59 years, Total, Total, Suceava, Year 2019, Number of persons, 33901
55-59 years, Total, Total, Suceava, Year 2020, Number of persons, 32959
55-59 years, Total, Total, Suceava, Year 2021, Number of persons, 31922
55-59 years, Total, Total, Suceava, Year 2022, Number of persons, 32879
55-59 years, Total, Total, Suceava, Year 2023, Number of persons, 36565
55-59 years, Total, Total, Suceava, Year 2024, Number of persons, 41411
55-59 years, Total, Total, Vaslui, Year 2013, Number of persons, 26574
55-59 years, Total, Total, Vaslui, Year 2014, Number of persons, 26579
55-59 years, Total, Total, Vaslui, Year 2015, Number of persons, 26162
55-59 years, Total, Total, Vaslui, Year 2016, Number of persons, 24818
55-59 years, Total, Total, Vaslui, Year 2017, Number of persons, 23472
55-59 years, Total, Total, Vaslui, Year 2018, Number of persons, 21941
55-59 years, Total, Total, Vaslui, Year 2019, Number of persons, 20836
55-59 years, Total, Total, Vaslui, Year 2020, Number of persons, 19439
55-59 years, Total, Total, Vaslui, Year 2021, Number of persons, 18364
55-59 years, Total, Total, Vaslui, Year 2022, Number of persons, 19029
55-59 years, Total, Total, Vaslui, Year 2023, Number of persons, 21596
55-59 years, Total, Total, Vaslui, Year 2024, Number of persons, 24310
55-59 years, Total, Total, Braila, Year 2013, Number of persons, 25061
55-59 years, Total, Total, Braila, Year 2014, Number of persons, 24848
55-59 years, Total, Total, Braila, Year 2015, Number of persons, 23791
55-59 years, Total, Total, Braila, Year 2016, Number of persons, 22395
55-59 years, Total, Total, Braila, Year 2017, Number of persons, 20851
55-59 years, Total, Total, Braila, Year 2018, Number of persons, 19463
55-59 years, Total, Total, Braila, Year 2019, Number of persons, 18063
55-59 years, Total, Total, Braila, Year 2020, Number of persons, 16996
55-59 years, Total, Total, Braila, Year 2021, Number of persons, 15377
55-59 years, Total, Total, Braila, Year 2022, Number of persons, 14924
55-59 years, Total, Total, Braila, Year 2023, Number of persons, 17379
55-59 years, Total, Total, Braila, Year 2024, Number of persons, 20582
55-59 years, Total, Total, Buzau, Year 2013, Number of persons, 33152
55-59 years, Total, Total, Buzau, Year 2014, Number of persons, 33127
55-59 years, Total, Total, Buzau, Year 2015, Number of persons, 32360
55-59 years, Total, Total, Buzau, Year 2016, Number of persons, 31122
55-59 years, Total, Total, Buzau, Year 2017, Number of persons, 29574
55-59 years, Total, Total, Buzau, Year 2018, Number of persons, 27862
55-59 years, Total, Total, Buzau, Year 2019, Number of persons, 25639
55-59 years, Total, Total, Buzau, Year 2020, Number of persons, 23693
55-59 years, Total, Total, Buzau, Year 2021, Number of persons, 21826
55-59 years, Total, Total, Buzau, Year 2022, Number of persons, 21376
55-59 years, Total, Total, Buzau, Year 2023, Number of persons, 24320
55-59 years, Total, Total, Buzau, Year 2024, Number of persons, 28241
55-59 years, Total, Total, Constanta, Year 2013, Number of persons, 53690
55-59 years, Total, Total, Constanta, Year 2014, Number of persons, 53047
55-59 years, Total, Total, Constanta, Year 2015, Number of persons, 51129
55-59 years, Total, Total, Constanta, Year 2016, Number of persons, 48132
55-59 years, Total, Total, Constanta, Year 2017, Number of persons, 44791
55-59 years, Total, Total, Constanta, Year 2018, Number of persons, 41794
55-59 years, Total, Total, Constanta, Year 2019, Number of persons, 39349
55-59 years, Total, Total, Constanta, Year 2020, Number of persons, 37192
55-59 years, Total, Total, Constanta, Year 2021, Number of persons, 35124
55-59 years, Total, Total, Constanta, Year 2022, Number of persons, 33998
55-59 years, Total, Total, Constanta, Year 2023, Number of persons, 38845
55-59 years, Total, Total, Constanta, Year 2024, Number of persons, 44636
55-59 years, Total, Total, Galati, Year 2013, Number of persons, 41778
55-59 years, Total, Total, Galati, Year 2014, Number of persons, 41132
55-59 years, Total, Total, Galati, Year 2015, Number of persons, 39315
55-59 years, Total, Total, Galati, Year 2016, Number of persons, 36700
55-59 years, Total, Total, Galati, Year 2017, Number of persons, 33737
55-59 years, Total, Total, Galati, Year 2018, Number of persons, 30911
55-59 years, Total, Total, Galati, Year 2019, Number of persons, 28866
55-59 years, Total, Total, Galati, Year 2020, Number of persons, 26977
55-59 years, Total, Total, Galati, Year 2021, Number of persons, 25461
55-59 years, Total, Total, Galati, Year 2022, Number of persons, 25713
55-59 years, Total, Total, Galati, Year 2023, Number of persons, 30132
55-59 years, Total, Total, Galati, Year 2024, Number of persons, 35160
55-59 years, Total, Total, Tulcea, Year 2013, Number of persons, 17767
55-59 years, Total, Total, Tulcea, Year 2014, Number of persons, 17292
55-59 years, Total, Total, Tulcea, Year 2015, Number of persons, 16273
55-59 years, Total, Total, Tulcea, Year 2016, Number of persons, 15040
55-59 years, Total, Total, Tulcea, Year 2017, Number of persons, 14020
55-59 years, Total, Total, Tulcea, Year 2018, Number of persons, 13066
55-59 years, Total, Total, Tulcea, Year 2019, Number of persons, 12422
55-59 years, Total, Total, Tulcea, Year 2020, Number of persons, 11815
55-59 years, Total, Total, Tulcea, Year 2021, Number of persons, 11165
55-59 years, Total, Total, Tulcea, Year 2022, Number of persons, 11602
55-59 years, Total, Total, Tulcea, Year 2023, Number of persons, 12587
55-59 years, Total, Total, Tulcea, Year 2024, Number of persons, 13998
55-59 years, Total, Total, Vrancea, Year 2013, Number of persons, 24183
55-59 years, Total, Total, Vrancea, Year 2014, Number of persons, 24068
55-59 years, Total, Total, Vrancea, Year 2015, Number of persons, 23422
55-59 years, Total, Total, Vrancea, Year 2016, Number of persons, 22346
55-59 years, Total, Total, Vrancea, Year 2017, Number of persons, 21146
55-59 years, Total, Total, Vrancea, Year 2018, Number of persons, 19981
55-59 years, Total, Total, Vrancea, Year 2019, Number of persons, 18661
55-59 years, Total, Total, Vrancea, Year 2020, Number of persons, 17611
55-59 years, Total, Total, Vrancea, Year 2021, Number of persons, 16647
55-59 years, Total, Total, Vrancea, Year 2022, Number of persons, 17465
55-59 years, Total, Total, Vrancea, Year 2023, Number of persons, 19840
55-59 years, Total, Total, Vrancea, Year 2024, Number of persons, 22765
55-59 years, Total, Total, Arges, Year 2013, Number of persons, 43932
55-59 years, Total, Total, Arges, Year 2014, Number of persons, 43642
55-59 years, Total, Total, Arges, Year 2015, Number of persons, 42254
55-59 years, Total, Total, Arges, Year 2016, Number of persons, 40864
55-59 years, Total, Total, Arges, Year 2017, Number of persons, 39042
55-59 years, Total, Total, Arges, Year 2018, Number of persons, 37375
55-59 years, Total, Total, Arges, Year 2019, Number of persons, 35179
55-59 years, Total, Total, Arges, Year 2020, Number of persons, 33561
55-59 years, Total, Total, Arges, Year 2021, Number of persons, 32144
55-59 years, Total, Total, Arges, Year 2022, Number of persons, 31813
55-59 years, Total, Total, Arges, Year 2023, Number of persons, 37224
55-59 years, Total, Total, Arges, Year 2024, Number of persons, 43183
55-59 years, Total, Total, Calarasi, Year 2013, Number of persons, 20426
55-59 years, Total, Total, Calarasi, Year 2014, Number of persons, 20429
55-59 years, Total, Total, Calarasi, Year 2015, Number of persons, 19988
55-59 years, Total, Total, Calarasi, Year 2016, Number of persons, 19111
55-59 years, Total, Total, Calarasi, Year 2017, Number of persons, 17839
55-59 years, Total, Total, Calarasi, Year 2018, Number of persons, 16559
55-59 years, Total, Total, Calarasi, Year 2019, Number of persons, 15473
55-59 years, Total, Total, Calarasi, Year 2020, Number of persons, 14645
55-59 years, Total, Total, Calarasi, Year 2021, Number of persons, 13801
55-59 years, Total, Total, Calarasi, Year 2022, Number of persons, 14203
55-59 years, Total, Total, Calarasi, Year 2023, Number of persons, 16915
55-59 years, Total, Total, Calarasi, Year 2024, Number of persons, 20039
55-59 years, Total, Total, Dambovita, Year 2013, Number of persons, 34813
55-59 years, Total, Total, Dambovita, Year 2014, Number of persons, 34644
55-59 years, Total, Total, Dambovita, Year 2015, Number of persons, 33965
55-59 years, Total, Total, Dambovita, Year 2016, Number of persons, 32607
55-59 years, Total, Total, Dambovita, Year 2017, Number of persons, 31224
55-59 years, Total, Total, Dambovita, Year 2018, Number of persons, 29676
55-59 years, Total, Total, Dambovita, Year 2019, Number of persons, 28004
55-59 years, Total, Total, Dambovita, Year 2020, Number of persons, 26858
55-59 years, Total, Total, Dambovita, Year 2021, Number of persons, 25942
55-59 years, Total, Total, Dambovita, Year 2022, Number of persons, 25373
55-59 years, Total, Total, Dambovita, Year 2023, Number of persons, 30187
55-59 years, Total, Total, Dambovita, Year 2024, Number of persons, 34818
55-59 years, Total, Total, Giurgiu, Year 2013, Number of persons, 18057
55-59 years, Total, Total, Giurgiu, Year 2014, Number of persons, 17629
55-59 years, Total, Total, Giurgiu, Year 2015, Number of persons, 17300
55-59 years, Total, Total, Giurgiu, Year 2016, Number of persons, 16559
55-59 years, Total, Total, Giurgiu, Year 2017, Number of persons, 15924
55-59 years, Total, Total, Giurgiu, Year 2018, Number of persons, 14845
55-59 years, Total, Total, Giurgiu, Year 2019, Number of persons, 14060
